GenderSelect,Country,Age,EmployerIndustry,Gender Counts,,Age Counts,,Industry Counts,
Female,Brazil,27,Technology,,,,,,
Female,United States,27,Internet-based,,,,,,
Male,Canada,34,,,,,,,
Male,Argentina,25,Technology,,,,,,
Male,United States,68,Manufacturing,,,,,,
Female,Germany,25,,,,,,,
Male,United States,28,,,,,,,
Male,India,27,,,,,,,
Male,India,25,Retail,,,,,,
Male,United States,50,,,,,,,
Male,Spain,34,Internet-based,,,,,,
Male,India,22,,,,,,,
Female,United States,20,Non-profit,,,,,,
Male,United Kingdom,16,,,,,,,
Male,Turkey,20,,,,,,,
Female,United States,29,Technology,,,,,,
Male,Brazil,25,Academic,,,,,,
Male,Canada,42,Retail,,,,,,
A different identity,India,24,,,,,,,
Male,Brazil,32,Academic,,,,,,
Male,India,22,Academic,,,,,,
Male,Hungary,38,Technology,,,,,,
Male,United States,25,Retail,,,,,,
Male,Other,28,Internet-based,,,,,,
Male,Brazil,38,Technology,,,,,,
Male,India,21,,,,,,,
Male,Russia,31,CRM/Marketing,,,,,,
Male,United States,60,Financial,,,,,,
Female,United States,30,,,,,,,
Male,United States,31,Insurance,,,,,,
Male,Russia,35,,,,,,,
Male,United States,35,Manufacturing,,,,,,
Male,India,21,,,,,,,
Male,United States,20,Academic,,,,,,
Female,United Kingdom,31,Government,,,,,,
Male,United States,27,Financial,,,,,,
Male,United States,58,,,,,,,
Male,India,20,,,,,,,
Female,India,30,,,,,,,
Male,India,24,,,,,,,
A different identity,Argentina,21,Technology,,,,,,
Male,Ukraine,18,,,,,,,
Male,Brazil,22,CRM/Marketing,,,,,,
Male,Russia,24,,,,,,,
Male,Italy,25,,,,,,,
Male,Greece,29,,,,,,,
Male,Spain,39,Telecommunications,,,,,,
Male,United Kingdom,30,Technology,,,,,,
Male,India,26,Technology,,,,,,
A different identity,France,0,Technology,,,,,,
Male,United States,24,,,,,,,
Male,United States,27,,,,,,,
Male,United States,49,Financial,,,,,,
Male,United States,29,,,,,,,
Male,Spain,37,Academic,,,,,,
Male,United States,62,Non-profit,,,,,,
Male,Russia,36,Financial,,,,,,
Female,United States,21,Retail,,,,,,
Male,United States,25,,,,,,,
Male,United States,25,,,,,,,
Male,Poland,58,Financial,,,,,,
Male,France,20,,,,,,,
Female,Sweden,24,,,,,,,
Male,India,21,,,,,,,
Male,United States,38,Internet-based,,,,,,
Male,United States,47,Academic,,,,,,
Male,United States,27,,,,,,,
Male,United States,27,Other,,,,,,
Male,France,26,Government,,,,,,
Male,Brazil,21,,,,,,,
A different identity,Canada,23,Academic,,,,,,
Male,United States,19,Manufacturing,,,,,,
Male,India,23,Technology,,,,,,
Male,United States,53,,,,,,,
Female,Poland,23,Financial,,,,,,
Female,Canada,19,,,,,,,
Female,United States,31,Insurance,,,,,,
Male,South Africa,24,,,,,,,
Male,Denmark,29,Academic,,,,,,
Male,United States,21,,,,,,,
Female,Brazil,29,,,,,,,
Male,Pakistan,24,,,,,,,
Male,People 's Republic of China,25,Academic,,,,,,
Female,United States,31,Other,,,,,,
"Non-binary, genderqueer, or gender non-conforming",United States,57,,,,,,,
Female,Netherlands,54,,,,,,,
Male,United States,50,Financial,,,,,,
Male,United States,59,,,,,,,
Male,Finland,31,Technology,,,,,,
Male,United States,21,Insurance,,,,,,
Male,United States,72,Academic,,,,,,
Female,Canada,23,Technology,,,,,,
Male,United States,37,Technology,,,,,,
Male,Canada,26,Internet-based,,,,,,
Male,New Zealand,30,Government,,,,,,
Male,France,24,Mix of fields,,,,,,
"Non-binary, genderqueer, or gender non-conforming",United States,21,,,,,,,
Male,Ukraine,32,Other,,,,,,
Female,United States,27,,,,,,,
Male,United States,41,Academic,,,,,,
Male,United States,13,,,,,,,
Male,Israel,38,,,,,,,
Male,Czech Republic,21,Internet-based,,,,,,
Male,Russia,38,,,,,,,
Male,Pakistan,21,,,,,,,
Male,Australia,18,,,,,,,
Male,United States,37,Telecommunications,,,,,,
Male,United Kingdom,55,Financial,,,,,,
Male,Norway,29,Manufacturing,,,,,,
Male,India,20,,,,,,,
Female,Australia,NA,,,,,,,
Male,Netherlands,26,Financial,,,,,,
Female,Ireland,NA,,,,,,,
Male,Australia,32,,,,,,,
Male,United States,22,,,,,,,
Male,Chile,37,Government,,,,,,
Male,Canada,18,Retail,,,,,,
Male,Other,29,Financial,,,,,,
Male,Russia,23,,,,,,,
Female,Germany,24,Academic,,,,,,
Male,France,36,,,,,,,
Male,United States,31,Academic,,,,,,
Male,United States,20,Technology,,,,,,
Female,France,28,Other,,,,,,
Female,Germany,38,Internet-based,,,,,,
Female,United States,52,,,,,,,
Male,United States,52,Other,,,,,,
Male,United States,29,Academic,,,,,,
Female,United States,19,,,,,,,
Male,United States,23,,,,,,,
Female,Poland,22,,,,,,,
Male,United States,35,Internet-based,,,,,,
Male,United States,28,Non-profit,,,,,,
Male,Italy,27,Financial,,,,,,
Male,Italy,52,Financial,,,,,,
Male,India,22,,,,,,,
Male,United States,24,Manufacturing,,,,,,
Male,United States,27,Retail,,,,,,
Male,India,23,,,,,,,
Male,Russia,20,,,,,,,
Male,United States,18,,,,,,,
Male,United States,29,,,,,,,
Male,Germany,35,Academic,,,,,,
Male,United Kingdom,23,,,,,,,
Male,Belarus,31,Mix of fields,,,,,,
Male,Czech Republic,25,Mix of fields,,,,,,
Male,Pakistan,20,,,,,,,
Female,United States,28,Mix of fields,,,,,,
Male,United States,48,Manufacturing,,,,,,
Male,United States,38,Mix of fields,,,,,,
Female,United States,27,,,,,,,
Female,United Kingdom,32,Mix of fields,,,,,,
Male,India,20,,,,,,,
Male,United Kingdom,26,CRM/Marketing,,,,,,
Male,United States,43,Telecommunications,,,,,,
Male,Brazil,33,Other,,,,,,
Female,France,20,,,,,,,
Female,United States,28,,,,,,,
Female,Czech Republic,21,,,,,,,
Male,Netherlands,28,,,,,,,
Male,Poland,26,Technology,,,,,,
Male,India,19,,,,,,,
Male,United States,30,Technology,,,,,,
Male,France,30,Pharmaceutical,,,,,,
Male,Australia,55,Technology,,,,,,
Male,United States,24,Pharmaceutical,,,,,,
Male,Czech Republic,30,Technology,,,,,,
Male,Other,17,,,,,,,
Male,United States,26,CRM/Marketing,,,,,,
Male,Ireland,39,,,,,,,
Male,Japan,22,,,,,,,
Male,Canada,38,Internet-based,,,,,,
Male,United States,39,Technology,,,,,,
Male,United States,28,,,,,,,
Male,Hungary,37,Internet-based,,,,,,
Female,United States,29,Non-profit,,,,,,
Male,United States,42,,,,,,,
Female,United States,18,CRM/Marketing,,,,,,
Male,United States,40,,,,,,,
Male,Canada,29,Technology,,,,,,
Male,Italy,62,,,,,,,
Male,Russia,24,CRM/Marketing,,,,,,
Male,United States,34,,,,,,,
Male,United States,41,Government,,,,,,
Male,United Kingdom,23,Insurance,,,,,,
Male,Other,28,CRM/Marketing,,,,,,
Male,Other,37,,,,,,,
Male,United States,60,Academic,,,,,,
Female,Spain,24,Financial,,,,,,
Female,United States,27,Telecommunications,,,,,,
Male,United States,41,,,,,,,
Male,Australia,36,Mix of fields,,,,,,
Male,Russia,34,Other,,,,,,
Male,Poland,27,Telecommunications,,,,,,
Male,India,28,,,,,,,
Male,New Zealand,72,Government,,,,,,
Male,United States,26,Manufacturing,,,,,,
Male,Australia,38,,,,,,,
Male,Canada,19,,,,,,,
Male,United States,53,Other,,,,,,
Male,Malaysia,22,,,,,,,
Male,South Africa,24,Mix of fields,,,,,,
Male,Canada,52,Academic,,,,,,
Male,Indonesia,39,Other,,,,,,
Male,Other,50,Internet-based,,,,,,
Male,Japan,48,Financial,,,,,,
Male,United Kingdom,27,,,,,,,
Male,United States,42,CRM/Marketing,,,,,,
Female,New Zealand,28,Government,,,,,,
Male,Japan,NA,,,,,,,
Male,Colombia,29,,,,,,,
Female,Mexico,37,Technology,,,,,,
Male,United States,31,,,,,,,
Male,Russia,26,Military/Security,,,,,,
Male,United States,27,Financial,,,,,,
Male,Italy,22,,,,,,,
Male,United States,23,Internet-based,,,,,,
Male,United States,52,Other,,,,,,
Female,United States,25,,,,,,,
Male,United States,25,,,,,,,
Male,France,26,Technology,,,,,,
Male,India,25,Insurance,,,,,,
Male,United States,15,,,,,,,
Male,India,19,,,,,,,
Male,United States,26,Mix of fields,,,,,,
Male,United States,29,,,,,,,
Male,United States,29,,,,,,,
Male,Australia,38,Technology,,,,,,
Male,Russia,30,,,,,,,
Male,Italy,23,,,,,,,
Male,United States,42,Insurance,,,,,,
Male,United States,24,Manufacturing,,,,,,
Female,United States,18,,,,,,,
Female,United Kingdom,26,,,,,,,
Female,United States,23,,,,,,,
Male,Netherlands,24,,,,,,,
Male,United States,22,Academic,,,,,,
Female,United States,25,Academic,,,,,,
Female,Other,20,,,,,,,
Male,Germany,40,,,,,,,
Male,France,38,Pharmaceutical,,,,,,
Male,United States,21,Mix of fields,,,,,,
Male,Czech Republic,25,Internet-based,,,,,,
Male,United States,48,,,,,,,
Male,Poland,21,,,,,,,
Male,South Korea,27,Financial,,,,,,
Male,Brazil,20,,,,,,,
Male,Turkey,24,,,,,,,
Male,Denmark,31,Other,,,,,,
Male,Other,28,Academic,,,,,,
Male,Canada,19,,,,,,,
Female,United States,26,,,,,,,
Female,South Korea,36,Manufacturing,,,,,,
Male,Pakistan,37,Telecommunications,,,,,,
Male,Nigeria,22,Telecommunications,,,,,,
Male,United States,32,Mix of fields,,,,,,
Male,United States,25,,,,,,,
Male,France,32,Academic,,,,,,
Male,United States,36,Technology,,,,,,
Male,United States,31,Academic,,,,,,
Male,Belgium,41,Financial,,,,,,
Male,United States,25,,,,,,,
Male,United States,27,,,,,,,
Male,Russia,22,Mix of fields,,,,,,
Male,New Zealand,58,Telecommunications,,,,,,
Male,United States,46,Financial,,,,,,
Male,Other,37,Academic,,,,,,
Male,Russia,35,Technology,,,,,,
Male,United States,23,Technology,,,,,,
Female,United States,31,Pharmaceutical,,,,,,
Male,United States,22,,,,,,,
Male,Germany,32,,,,,,,
Female,Japan,27,Technology,,,,,,
Female,France,36,,,,,,,
Female,United Kingdom,55,Insurance,,,,,,
Male,Nigeria,42,Mix of fields,,,,,,
Male,Other,44,Government,,,,,,
Female,United States,26,Military/Security,,,,,,
Male,United States,16,,,,,,,
Female,Australia,26,,,,,,,
Female,United States,NA,Financial,,,,,,
,,NA,Academic,,,,,,
Male,Chile,30,Other,,,,,,
Male,United States,22,Hospitality/Entertainment/Sports,,,,,,
Male,Colombia,25,Internet-based,,,,,,
Male,United States,37,Government,,,,,,
Male,Mexico,21,Academic,,,,,,
Male,Russia,19,,,,,,,
Male,Colombia,24,Internet-based,,,,,,
Male,United States,27,Other,,,,,,
Male,United States,30,Mix of fields,,,,,,
Male,United States,31,Internet-based,,,,,,
Male,Canada,30,Military/Security,,,,,,
Female,Australia,35,Non-profit,,,,,,
Male,Canada,23,,,,,,,
Female,United States,36,Mix of fields,,,,,,
Male,United States,36,Financial,,,,,,
Male,Canada,27,,,,,,,
Male,India,19,,,,,,,
Male,Mexico,23,,,,,,,
Male,United States,57,Mix of fields,,,,,,
Male,New Zealand,44,,,,,,,
A different identity,United States,37,Technology,,,,,,
Male,Mexico,25,Manufacturing,,,,,,
Male,United States,40,,,,,,,
Male,United States,25,Technology,,,,,,
Male,United States,23,,,,,,,
Female,United States,25,Academic,,,,,,
Male,United States,29,Financial,,,,,,
Male,Egypt,22,,,,,,,
Male,Brazil,29,Financial,,,,,,
Female,Malaysia,29,Other,,,,,,
,,NA,Internet-based,,,,,,
Male,United States,23,,,,,,,
Female,United States,28,Retail,,,,,,
Male,United States,29,Insurance,,,,,,
Male,Italy,32,Other,,,,,,
Male,United States,22,,,,,,,
Male,France,53,Pharmaceutical,,,,,,
Male,Australia,NA,,,,,,,
Female,Australia,23,,,,,,,
Male,South Africa,24,,,,,,,
Female,United States,26,,,,,,,
Male,United States,35,Insurance,,,,,,
Male,Netherlands,19,,,,,,,
Male,United Kingdom,31,Academic,,,,,,
Female,Australia,18,Academic,,,,,,
Male,People 's Republic of China,22,,,,,,,
Female,United States,26,,,,,,,
Male,Ukraine,22,Financial,,,,,,
Male,Ireland,27,Technology,,,,,,
Male,Portugal,29,Academic,,,,,,
Male,Australia,NA,,,,,,,
Female,United States,25,,,,,,,
Male,United States,48,Mix of fields,,,,,,
Female,United States,23,CRM/Marketing,,,,,,
Male,United States,18,,,,,,,
Male,United States,24,Technology,,,,,,
Female,Australia,54,,,,,,,
Male,Brazil,30,Technology,,,,,,
Female,Singapore,27,Internet-based,,,,,,
Female,United States,48,Mix of fields,,,,,,
Male,United States,31,,,,,,,
Male,United States,42,Mix of fields,,,,,,
Male,Colombia,26,Technology,,,,,,
Female,United States,29,,,,,,,
Male,India,20,,,,,,,
Male,United States,57,Other,,,,,,
Male,Other,38,Retail,,,,,,
Male,Brazil,34,Other,,,,,,
Male,United States,37,CRM/Marketing,,,,,,
Male,United States,60,Financial,,,,,,
Male,United States,47,Technology,,,,,,
Female,United States,43,Academic,,,,,,
Male,Australia,39,Hospitality/Entertainment/Sports,,,,,,
Female,India,22,Government,,,,,,
Male,United States,25,Other,,,,,,
Male,Brazil,24,Mix of fields,,,,,,
Male,United States,28,,,,,,,
Male,United States,24,,,,,,,
Male,United States,40,Technology,,,,,,
Male,India,22,,,,,,,
Male,Argentina,25,Technology,,,,,,
Female,People 's Republic of China,27,Other,,,,,,
Male,Pakistan,20,,,,,,,
Male,United States,25,Technology,,,,,,
Female,United States,33,,,,,,,
Female,United States,NA,,,,,,,
Male,United States,56,Manufacturing,,,,,,
Male,Hong Kong,36,Financial,,,,,,
Male,United States,19,Manufacturing,,,,,,
Female,United States,33,Technology,,,,,,
Female,United States,26,Military/Security,,,,,,
Male,Other,24,CRM/Marketing,,,,,,
Male,United States,52,Insurance,,,,,,
Male,India,40,Academic,,,,,,
Male,Australia,23,Technology,,,,,,
Male,United States,24,Military/Security,,,,,,
Female,Australia,22,,,,,,,
Male,United States,25,Telecommunications,,,,,,
Male,South Korea,34,Academic,,,,,,
Female,Brazil,24,,,,,,,
Female,United States,51,Technology,,,,,,
Male,Canada,24,Mix of fields,,,,,,
Male,India,47,Academic,,,,,,
Male,United States,28,Internet-based,,,,,,
Male,United Kingdom,24,Technology,,,,,,
Female,United States,52,,,,,,,
Male,United States,23,Financial,,,,,,
Male,Argentina,28,Technology,,,,,,
Male,United States,23,Mix of fields,,,,,,
Male,Other,25,Internet-based,,,,,,
Male,United States,29,Internet-based,,,,,,
Male,Other,21,,,,,,,
Female,India,19,,,,,,,
Male,Republic of China,25,,,,,,,
Male,United States,49,Financial,,,,,,
Female,United States,26,,,,,,,
Male,Brazil,27,,,,,,,
Male,United Kingdom,32,,,,,,,
Male,Germany,31,Mix of fields,,,,,,
Male,United States,35,Technology,,,,,,
Male,People 's Republic of China,28,Pharmaceutical,,,,,,
Male,India,20,,,,,,,
Male,Australia,42,Technology,,,,,,
Male,United States,43,Technology,,,,,,
Female,United States,31,Non-profit,,,,,,
Female,United States,27,Technology,,,,,,
Male,United States,40,Financial,,,,,,
Male,United States,69,Mix of fields,,,,,,
Male,Portugal,27,Manufacturing,,,,,,
Female,United States,48,,,,,,,
Female,Canada,39,,,,,,,
Male,Canada,46,Telecommunications,,,,,,
Male,Australia,30,Retail,,,,,,
Male,United States,36,Internet-based,,,,,,
Female,Spain,29,,,,,,,
Male,India,22,,,,,,,
Male,United States,25,Academic,,,,,,
Male,Canada,23,Financial,,,,,,
Male,United States,32,Mix of fields,,,,,,
Male,India,21,,,,,,,
Male,United States,48,Mix of fields,,,,,,
Male,United States,25,Hospitality/Entertainment/Sports,,,,,,
Male,United States,21,Other,,,,,,
Male,United States,30,,,,,,,
Male,People 's Republic of China,28,Technology,,,,,,
Male,Canada,34,Other,,,,,,
Female,New Zealand,33,,,,,,,
Male,Colombia,28,Telecommunications,,,,,,
Female,United States,42,,,,,,,
Male,Brazil,26,Technology,,,,,,
Male,Other,11,,,,,,,
Male,United States,36,Government,,,,,,
Male,Russia,30,Technology,,,,,,
Male,United States,40,Hospitality/Entertainment/Sports,,,,,,
Male,Other,26,Financial,,,,,,
Male,People 's Republic of China,30,,,,,,,
Male,Indonesia,22,,,,,,,
Male,Australia,39,Government,,,,,,
Male,United States,23,,,,,,,
Male,United States,31,Technology,,,,,,
Male,United States,22,Non-profit,,,,,,
Male,Japan,58,Academic,,,,,,
Male,United States,26,Other,,,,,,
Male,United States,24,Financial,,,,,,
Male,Japan,21,,,,,,,
Male,United States,21,Internet-based,,,,,,
Male,Brazil,49,Academic,,,,,,
Male,United States,33,Financial,,,,,,
Male,Taiwan,23,,,,,,,
Male,United States,22,,,,,,,
Male,United States,28,Pharmaceutical,,,,,,
Male,United States,33,Other,,,,,,
Male,South Korea,53,Academic,,,,,,
Male,Germany,35,Internet-based,,,,,,
Female,Philippines,26,Manufacturing,,,,,,
Male,United States,70,Other,,,,,,
Male,Australia,36,Other,,,,,,
Female,United States,36,Technology,,,,,,
Female,United States,23,,,,,,,
Male,United States,23,Financial,,,,,,
Male,People 's Republic of China,27,Internet-based,,,,,,
Male,Australia,23,,,,,,,
Male,Canada,60,Academic,,,,,,
Female,United States,24,Technology,,,,,,
Female,Australia,23,Financial,,,,,,
Male,United States,17,,,,,,,
Male,United States,25,Technology,,,,,,
Male,India,22,,,,,,,
Male,Colombia,29,Financial,,,,,,
Male,Japan,37,Manufacturing,,,,,,
Female,People 's Republic of China,26,,,,,,,
Male,India,23,,,,,,,
A different identity,People 's Republic of China,21,,,,,,,
Female,Singapore,16,,,,,,,
Male,People 's Republic of China,23,Academic,,,,,,
Male,Portugal,23,,,,,,,
Male,United States,24,,,,,,,
Male,Argentina,38,,,,,,,
Female,India,40,,,,,,,
Male,Indonesia,21,Mix of fields,,,,,,
Male,India,22,,,,,,,
Male,United States,32,Military/Security,,,,,,
Female,United States,22,Technology,,,,,,
Male,United States,26,Hospitality/Entertainment/Sports,,,,,,
Male,United States,28,Financial,,,,,,
Male,Singapore,30,Mix of fields,,,,,,
Male,United States,18,,,,,,,
Female,United States,37,Retail,,,,,,
Male,South Korea,35,Telecommunications,,,,,,
Male,Brazil,22,Technology,,,,,,
Male,Other,65,,,,,,,
Female,Indonesia,20,,,,,,,
Male,United States,41,Mix of fields,,,,,,
Male,Brazil,22,Technology,,,,,,
Male,Taiwan,30,Government,,,,,,
Male,Denmark,36,,,,,,,
Male,Singapore,26,Insurance,,,,,,
Male,India,25,Technology,,,,,,
Female,United States,40,Other,,,,,,
Female,United States,42,Telecommunications,,,,,,
Male,Other,27,Internet-based,,,,,,
Male,Brazil,23,,,,,,,
Male,Belgium,37,,,,,,,
Male,Indonesia,18,,,,,,,
Male,Colombia,26,Internet-based,,,,,,
Male,Brazil,54,Manufacturing,,,,,,
A different identity,Brazil,60,Insurance,,,,,,
Male,United States,47,Internet-based,,,,,,
Male,United States,25,,,,,,,
Male,Other,21,Manufacturing,,,,,,
Male,Brazil,37,,,,,,,
Male,Canada,31,Internet-based,,,,,,
Male,India,22,,,,,,,
Female,Indonesia,28,Financial,,,,,,
Male,United States,28,Government,,,,,,
Male,Japan,22,,,,,,,
Male,Brazil,33,,,,,,,
Male,United States,26,Internet-based,,,,,,
Female,United States,23,Technology,,,,,,
Male,United States,36,Mix of fields,,,,,,
Male,Canada,37,Government,,,,,,
Male,United States,32,Government,,,,,,
Male,Germany,38,,,,,,,
Male,United States,48,Non-profit,,,,,,
Male,Other,24,,,,,,,
Male,Ireland,42,Retail,,,,,,
Male,United States,41,Internet-based,,,,,,
Male,United States,24,,,,,,,
Female,United States,43,Insurance,,,,,,
Female,United States,57,Non-profit,,,,,,
Male,People 's Republic of China,22,Internet-based,,,,,,
Male,New Zealand,28,Technology,,,,,,
Male,South Korea,26,Manufacturing,,,,,,
Male,Russia,38,,,,,,,
Male,United States,45,Other,,,,,,
Male,Other,30,Mix of fields,,,,,,
Male,United States,20,Academic,,,,,,
Male,Canada,23,Insurance,,,,,,
Male,United States,25,Technology,,,,,,
Male,United States,35,Technology,,,,,,
Male,United States,17,,,,,,,
Male,India,27,Technology,,,,,,
Male,People 's Republic of China,21,,,,,,,
Male,United States,35,,,,,,,
Male,Brazil,34,,,,,,,
Male,Australia,25,,,,,,,
Male,People 's Republic of China,21,,,,,,,
Female,United States,32,Non-profit,,,,,,
Female,United States,27,,,,,,,
Male,People 's Republic of China,24,,,,,,,
Male,United States,32,Academic,,,,,,
Male,United States,37,Technology,,,,,,
Male,People 's Republic of China,100,,,,,,,
Male,United States,43,,,,,,,
Male,United States,46,Technology,,,,,,
Male,India,19,,,,,,,
Male,Other,23,,,,,,,
Male,United States,37,Financial,,,,,,
Male,Mexico,37,Telecommunications,,,,,,
Female,Belgium,28,Academic,,,,,,
Female,Taiwan,23,,,,,,,
Male,United States,42,Retail,,,,,,
Male,United States,29,Government,,,,,,
Male,Singapore,23,,,,,,,
Male,Australia,18,,,,,,,
Male,United States,32,Government,,,,,,
Male,Australia,33,Hospitality/Entertainment/Sports,,,,,,
Male,People 's Republic of China,45,,,,,,,
Male,People 's Republic of China,24,,,,,,,
Male,United States,24,,,,,,,
Male,Malaysia,27,Government,,,,,,
Male,Russia,36,,,,,,,
Male,Colombia,30,Technology,,,,,,
Female,Canada,29,,,,,,,
Male,Canada,37,Technology,,,,,,
Male,Hong Kong,28,Technology,,,,,,
Male,People 's Republic of China,31,Technology,,,,,,
Male,United States,31,Technology,,,,,,
Male,Indonesia,23,,,,,,,
Female,Australia,25,CRM/Marketing,,,,,,
Male,Taiwan,22,Academic,,,,,,
Male,Egypt,22,,,,,,,
Female,India,37,,,,,,,
Male,United States,32,Academic,,,,,,
Male,United States,51,Financial,,,,,,
Female,United States,24,,,,,,,
Male,United States,47,,,,,,,
Male,United States,19,,,,,,,
Male,Other,22,,,,,,,
Male,Singapore,40,,,,,,,
Male,United States,59,,,,,,,
Female,India,35,,,,,,,
Male,United States,16,,,,,,,
Male,Other,26,Technology,,,,,,
"Non-binary, genderqueer, or gender non-conforming",United States,45,Mix of fields,,,,,,
Female,Nigeria,21,,,,,,,
Male,People 's Republic of China,21,,,,,,,
Male,Japan,55,Academic,,,,,,
Male,India,21,,,,,,,
Female,United States,17,Financial,,,,,,
Male,Indonesia,25,Other,,,,,,
Male,United States,14,,,,,,,
Female,South Korea,30,Academic,,,,,,
Male,India,21,,,,,,,
Male,Japan,32,Mix of fields,,,,,,
Male,Canada,21,,,,,,,
Male,India,34,,,,,,,
Female,United States,24,,,,,,,
Male,People 's Republic of China,22,,,,,,,
Female,United States,31,Technology,,,,,,
Male,Other,21,,,,,,,
Male,Other,26,Telecommunications,,,,,,
Male,Malaysia,34,Technology,,,,,,
Male,United States,21,,,,,,,
Male,United States,38,Financial,,,,,,
Male,United States,25,Academic,,,,,,
Male,India,21,,,,,,,
Male,Mexico,26,Government,,,,,,
Male,United States,22,Internet-based,,,,,,
Male,India,26,Technology,,,,,,
Male,United States,20,Internet-based,,,,,,
Male,United States,34,Mix of fields,,,,,,
Male,United States,50,Technology,,,,,,
Male,United States,42,Financial,,,,,,
Male,Vietnam,22,Technology,,,,,,
Male,Russia,29,Internet-based,,,,,,
